ID,Sector,Stream,Course,Qualification,Career,Salary_LPA,Demand_2025
1,AI & ML,Commerce,B.Com,10+2 + Bachelor's,Prompt Engineer (AI & ML),9.6,High
2,Engineering,Commerce,BHM,10+2 + Diploma,Electrical Engineer (Engineering),11.1,Stable
3,Green Energy,Science (PCB),B.Sc Nursing,10+2 + NEET,Renewable Energy Engineer (Green Energy),12.6,Evergreen
4,Science & Research,Any Stream,LLB,Bachelor's + UPSC,Biotechnologist (Science & Research),4.0,Emerging
5,Hospitality & Travel,Science (PCM),B.Tech Civil,10+2 + JEE,Hotel Manager (Hospitality & Travel),11.2,High
6,Gig Economy,Any Stream,LLB,10+2 + Diploma,Gig Worker Coordinator (Gig Economy),11.7,Stable
7,Hospitality & Travel,Science (PCB),B.Sc Nursing,10+2 + NEET,Travel Agent (Hospitality & Travel),13.2,Evergreen
8,Cybersecurity,Science (PCM),B.Sc Data Science,10+2 + Diploma,Incident Responder (Cybersecurity),9.8,Evergreen
9,AI & ML,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Prompt Engineer (AI & ML) Variant 1,19.2,Evergreen
10,Engineering,Science (PCB),B.Sc Nursing,10+2 + NEET,EV Designer (Engineering),21.6,Evergreen
11,Gig Economy,Science (PCM),B.Tech Aerospace,10+2 + JEE,Platform Developer (Gig Economy),14.1,Growing
12,Hospitality & Travel,Science (PCM),B.Tech Civil,10+2 + JEE,Chef (Hospitality & Travel),24.2,Emerging
13,Arts & Humanities,Arts,BHM,10+2 + Bachelor's,Historian (Arts & Humanities),4.0,Stable
14,Hospitality & Travel,Science (PCM),B.Tech Mechanical,10+2 + JEE,Event Planner (Hospitality & Travel),19.6,Evergreen
15,Law,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Criminal Lawyer (Law),11.4,Evergreen
16,Education,Science (PCB),B.Sc Nursing,10+2 + NEET,Professor (Education),5.8,Stable
17,Management,Commerce,BA Psychology,Bachelor's + UPSC,Supply Chain Manager (Management),14.8,High
18,Government & Defense,Science (PCM),B.Tech Mechanical,10+2 + JEE,Policy Maker (Government & Defense),23.6,Growing
19,Arts & Humanities,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Artist (Arts & Humanities),15.4,Stable
20,Government & Defense,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Policy Maker (Government & Defense) Variant 2,12.8,Stable
21,Arts & Humanities,Science (PCB),B.Sc Nursing,10+2 + NEET,Philosopher (Arts & Humanities),16.7,Stable
22,Green Energy,Science (PCB),MBBS,10+2 + NEET,Environmental Analyst (Green Energy),5.5,Emerging
23,FinTech,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Blockchain Specialist (FinTech),25.0,Stable
24,Science & Research,Science (PCB),MBBS,10+2 + NEET,Biotechnologist (Science & Research) Variant 3,14.5,Evergreen
25,Cybersecurity,Science (PCM),B.Tech Mechanical,10+2 + JEE,Ethical Hacker (Cybersecurity),10.9,Growing
26,E-Commerce,Any Stream,BHM,Bachelor's + Cert,Online Retail Specialist (E-Commerce),20.7,Evergreen
27,Finance & Commerce,Commerce,B.Com,Bachelor's + Cert,ESG Analyst (Finance & Commerce),9.1,Stable
28,Space Tech,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Satellite Technician (Space Tech),5.2,Growing
29,Green Energy,Science (PCB),B.Pharma,10+2 + NEET,Renewable Energy Engineer (Green Energy) Variant 4,13.0,High
30,Arts & Humanities,Commerce,BA Psychology,Bachelor's + UPSC,Philosopher (Arts & Humanities) Variant 5,7.2,Growing
31,Law,Science (PCM),B.Tech Civil,10+2 + JEE,Criminal Lawyer (Law) Variant 6,18.3,Evergreen
32,Green Energy,Science (PCB),MBBS,10+2 + NEET,Renewable Energy Engineer (Green Energy) Variant 7,24.2,Stable
33,AI & ML,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Metaverse Designer (AI & ML),5.8,Emerging
34,E-Commerce,Science (PCB),MBBS,10+2 + NEET,Digital Marketer (E-Commerce),18.3,Evergreen
35,Media & Design,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,UI/UX Designer (Media & Design),6.7,High
36,Law,Arts,BHM,Bachelor's + Cert,Lawyer (Law),21.9,High
37,Management,Science (PCM),B.Sc Data Science,10+2 + CLAT,Marketing Manager (Management),17.6,Stable
38,Hospitality & Travel,Science (PCM/CS),B.Sc Data Science,10+2 + Bachelor's,Chef (Hospitality & Travel) Variant 8,3.6,Stable
39,Space Tech,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Drone Pilot (Space Tech),22.7,Emerging
40,FinTech,Science (PCB),B.Sc Nursing,10+2 + NEET,Blockchain Specialist (FinTech) Variant 9,7.7,Growing
41,Cybersecurity,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Ethical Hacker (Cybersecurity) Variant 10,7.4,Emerging
42,Cybersecurity,Science (PCM),B.Pharma,10+2 + NEET,Incident Responder (Cybersecurity) Variant 11,7.7,Growing
43,Gig Economy,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Platform Developer (Gig Economy) Variant 12,14.0,Growing
44,IT & Technology,Science (PCM),B.Tech Civil,10+2 + JEE,Full-Stack Developer (IT & Technology),19.6,Stable
45,Finance & Commerce,Commerce,B.Com,10+2 + Bachelor's,Financial Analyst (Finance & Commerce),22.5,Evergreen
46,Law,Science (PCB),MBBS,10+2 + NEET,Lawyer (Law) Variant 13,24.2,High
47,Science & Research,Commerce,B.Com,10+2 + CLAT,Chemist (Science & Research),22.4,Emerging
48,Space Tech,Science (PCM),B.Pharma,10+2 + NEET,Satellite Technician (Space Tech) Variant 14,9.2,Growing
49,FinTech,Science (PCM/CS),B.Sc Data Science,10+2 + CLAT,Blockchain Specialist (FinTech) Variant 15,16.5,Emerging
50,Education,Science (PCM),B.Tech Mechanical,10+2 + JEE,School Administrator (Education),11.7,Stable
51,Media & Design,Science (PCB),BDS,10+2 + NEET,Content Creator (Media & Design),5.1,Evergreen
52,Agriculture & Allied,Science (PCM),B.Tech Civil,10+2 + JEE,Farm Manager (Agriculture & Allied),24.6,Emerging
53,E-Commerce,Science (PCM/CS),B.Sc Data Science,10+2 + Bachelor's,Supply Chain Analyst (E-Commerce),15.0,Emerging
54,Management,Commerce,BHM,Bachelor's + Cert,Marketing Manager (Management) Variant 16,3.9,Growing
55,E-Commerce,Science (PCB),B.Pharma,10+2 + NEET,Supply Chain Analyst (E-Commerce) Variant 17,19.5,Evergreen
56,Government & Defense,Commerce,BHM,10+2 + Bachelor's,Policy Maker (Government & Defense) Variant 18,9.8,High
57,Green Energy,Commerce,B.Com,10+2 + CLAT,Sustainability Consultant (Green Energy),23.9,Emerging
58,Law,Science (PCM),B.Sc Data Science,Bachelor's + UPSC,Corporate Lawyer (Law),20.9,Growing
59,Cybersecurity,Commerce,BA Psychology,10+2 + Bachelor's,Incident Responder (Cybersecurity) Variant 19,21.4,Growing
60,FinTech,Science (PCB),MBBS,10+2 + NEET,Blockchain Specialist (FinTech) Variant 20,19.7,Growing
61,IT & Technology,Science (PCB),B.Com,10+2 + Bachelor's,Blockchain Developer (IT & Technology),20.7,High
62,Space Tech,Science (PCM/CS),B.Sc Data Science,Bachelor's + UPSC,Space Engineer (Space Tech),6.0,Growing
63,Arts & Humanities,Commerce,B.Com,10+2 + CLAT,Artist (Arts & Humanities) Variant 21,4.6,Stable
64,Law,Science (PCB),B.Sc Nursing,10+2 + NEET,Criminal Lawyer (Law) Variant 22,15.8,Stable
65,Healthcare,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Medical Researcher (Healthcare),24.2,Stable
66,Hospitality & Travel,Science (PCB),MBBS,10+2 + NEET,Hotel Manager (Hospitality & Travel) Variant 24,18.2,Stable
67,Hospitality & Travel,Science (PCB),MBBS,10+2 + NEET,Hotel Manager (Hospitality & Travel) Variant 24,18.2,Stable
68,Green Energy,Arts,BHM,10+2 + Diploma,Renewable Energy Engineer (Green Energy) Variant 25,20.9,Evergreen
69,Healthcare,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Pharmacist (Healthcare),15.6,Stable
70,Arts & Humanities,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Historian (Arts & Humanities) Variant 26,4.6,Stable
71,Arts & Humanities,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Philosopher (Arts & Humanities) Variant 27,21.0,Emerging
72,Hospitality & Travel,Science (PCM),B.Tech Mechanical,10+2 + JEE,Chef (Hospitality & Travel) Variant 28,21.8,High
73,Management,Any Stream,BHM,Bachelor's + Cert,Supply Chain Manager (Management) Variant 29,11.8,Stable
74,Cybersecurity,Science (PCM),B.Sc Data Science,10+2 + Diploma,Incident Responder (Cybersecurity) Variant 30,4.3,Stable
75,AI & ML,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Metaverse Designer (AI & ML) Variant 31,4.9,Evergreen
76,Arts & Humanities,Any Stream,B.Com,Bachelor's + UPSC,Writer (Arts & Humanities),8.2,Growing
77,IT & Technology,Science (PCB),BDS,10+2 + NEET,Full-Stack Developer (IT & Technology) Variant 32,4.0,Growing
78,Hospitality & Travel,Any Stream,LLB,10+2 + Diploma,Chef (Hospitality & Travel) Variant 33,16.6,Growing
79,AI & ML,Any Stream,BHM,10+2 + Diploma,Prompt Engineer (AI & ML) Variant 34,18.0,Evergreen
80,Engineering,Science (PCM/CS),B.Sc Data Science,10+2 + Diploma,Aerospace Engineer (Engineering),24.9,High
81,Management,Science (PCM),B.Tech Civil,10+2 + JEE,Marketing Manager (Management) Variant 35,4.3,Evergreen
82,Space Tech,Science (PCM),B.Tech CSE,10+2 + JEE,Space Engineer (Space Tech) Variant 36,10.8,Growing
83,Arts & Humanities,Science (PCM),B.Tech Civil,10+2 + JEE,Writer (Arts & Humanities) Variant 37,19.8,High
84,FinTech,Science (PCM),B.Tech CSE,10+2 + JEE,Digital Banker (FinTech),7.2,Stable
85,Cybersecurity,Science (PCM),B.Tech Mechanical,10+2 + JEE,Security Analyst (Cybersecurity),7.9,Growing
86,Agriculture & Allied,Science (PCB),BDS,10+2 + NEET,Farm Manager (Agriculture & Allied) Variant 38,12.2,Emerging
87,Finance & Commerce,Science (PCM),B.Tech Mechanical,10+2 + JEE,Tax Consultant (Finance & Commerce),23.0,Emerging
88,E-Commerce,Arts,BHM,10+2 + Bachelor's,Digital Marketer (E-Commerce) Variant 39,5.1,Emerging
89,Government & Defense,Commerce,BHM,10+2 + Bachelor's,Policy Maker (Government & Defense) Variant 40,4.9,Emerging
90,Law,Science (PCM),B.Sc Data Science,10+2 + Diploma,Legal Advisor (Law),22.6,Emerging
91,Cybersecurity,Science (PCM),B.Tech Civil,10+2 + JEE,Incident Responder (Cybersecurity) Variant 41,4.0,Growing
92,Education,Science (PCM),B.Pharma,10+2 + NEET,School Administrator (Education) Variant 42,15.7,High
93,Education,Any Stream,LLB,10+2 + Diploma,Educational Consultant (Education),18.5,Emerging
94,AI & ML,Science (PCM),B.Tech Civil,10+2 + JEE,Prompt Engineer (AI & ML) Variant 43,22.4,Stable
95,Law,Science (PCB),BDS,10+2 + NEET,Judge (Law),24.9,Stable
96,E-Commerce,Any Stream,BA Psychology,Bachelor's + UPSC,E-Commerce Manager (E-Commerce),10.7,Evergreen
